Nom scientifique
Achillea millefolium
Actaea racemosa
Aesculus hippocastanum
Agrimonia eupatoria
Aloe vera
Althaea officinalis
Artemisia absinthium
Avena sativa
Betula pendula
Camellia sinensis
Capsella bursa-pastoris
Carum carvi
Centaurium erythraea
Cetraria islandica
Cichorium intybus
Cinnamomum verum
Cola acuminata
Curcuma xanthorrhiza
Echinacea angustifolia
Echinacea pallida
Elymus repens
Epilobium angustifolium
Equisetum arvense
Eucalyptus globulus
Foeniculum vulgare
Frangula alnus
Frangula purshiana
Fraxinus excelsior
Fucus vesiculosus
Gentiana lutea
Glycyrrhiza glabra
Grindelia robusta
Harpagophytum procumbens
Hedera helix
Helichrysum arenarium
Hieracium pilosella
Humulus lupulus
Hypericum perforatum
Juniperus communis
Leonurus cardiaca
Levisticum officinale
Linum usitatissimum
Melilotus officinalis
Melissa officinalis
Mentha piperita
Olea europaea
Ononis spinosa
Origanum dictamnus
Origanum majorana
Orthosiphon aristatus
Paullinia cupana
Pelargonium sidoides
Peumus boldus
Phaseolus vulgaris
Pimpinella anisum
Plantago afra
Plantago lanceolata
Polygonum aviculare
Prunus africana
Quercus robur
Rheum officinale
Rosmarinus officinalis
Rubus idaeus
Salix purpurea
Sambucus nigra
Rhodiola rosea
Senna alexandrina
Sideritis scardica
Silybum marianum
Solidago virgaurea
Thymus vulgaris
Thymus zygis
Tilia cordata
Valeriana officinalis
Verbascum densiflorum
Viola tricolor
Vitex agnus-castus
